日期,地区,价格,数量,均重
2014-01-01,云南,6.1,2.68,4.65
2014-01-01,四川,5.26,11.45,4.63
2014-01-01,安徽,5.28,17.03,3.63
2014-01-01,山东,5.53,4.18,3.72
2014-01-01,广东,5.52,104.56,3.38
2014-01-01,广西,5.68,26.71,3.96
2014-01-01,江苏,5.56,20.51,3.52
2014-01-01,江西,5.55,10.09,3.33
2014-01-01,浙江,5.61,19.6,3.32
2014-01-01,海南,5.86,4.8,3.3
2014-01-01,湖北,5.77,12.11,3.31
2014-01-01,湖南,5.35,19.87,3.46
2014-01-01,福建,5.99,6.48,3.07
2014-01-01,贵州,5.42,4.48,4.47
2014-01-01,重庆,5.38,3.72,4.44
2014-01-02,云南,6.17,3.42,4.33
2014-01-02,四川,5.39,9.87,4.73
2014-01-02,安徽,5.48,8.77,3.59
2014-01-02,山东,5.59,3.32,3.94
2014-01-02,广东,5.76,88.24,3.43
2014-01-02,广西,5.85,27.57,3.93
2014-01-02,江苏,5.74,16.13,3.49
2014-01-02,江西,5.64,9.98,3.28
2014-01-02,浙江,5.59,17.65,3.28
2014-01-02,海南,5.86,4.48,3.28
2014-01-02,湖北,5.76,15.97,3.28
2014-01-02,湖南,5.45,17.43,3.38
2014-01-02,福建,6.02,6.73,3.17
2014-01-02,贵州,5.63,3.88,4.32
2014-01-02,重庆,5.44,3.11,4.26
2014-01-03,云南,6.48,3.68,4.35
2014-01-03,四川,5.22,11.46,4.58
2014-01-03,安徽,5.56,12.52,3.56
2014-01-03,山东,5.71,3.92,3.99
2014-01-03,广东,5.96,70.87,3.48
2014-01-03,广西,5.96,27.74,3.94
2014-01-03,江苏,5.76,15.31,3.54
2014-01-03,江西,5.68,9.18,3.31
2014-01-03,浙江,5.54,14.5,3.28
2014-01-03,海南,6.17,3.57,3.22
2014-01-03,湖北,5.83,12.62,3.29
2014-01-03,湖南,5.76,13.03,3.39
2014-01-03,福建,6.05,5.71,3.3
2014-01-03,贵州,5.35,4.23,3.97
2014-01-03,重庆,5.76,2.38,4.45
2014-01-04,云南,6.18,2.76,4.63
2014-01-04,四川,5.46,10.97,4.59
2014-01-04,安徽,5.61,10.52,3.64
2014-01-04,山东,5.83,2.06,4.04
2014-01-04,广东,5.87,67.77,3.5
2014-01-04,广西,5.99,20.34,3.95
2014-01-04,江苏,5.77,15.17,3.47
2014-01-04,江西,5.71,6.82,3.2
2014-01-04,浙江,5.52,16.16,3.22
2014-01-04,海南,6.3,2.5,3.26
2014-01-04,湖北,6,9.68,3.31
2014-01-04,湖南,5.66,8.85,3.41
2014-01-04,福建,5.96,6.15,3
2014-01-04,贵州,5.32,5.86,4.43
2014-01-04,重庆,5.72,3.34,4.1
2014-01-05,云南,5.86,2.79,4.34
2014-01-05,四川,5.56,12.44,4.53
2014-01-05,安徽,5.73,7,3.57
2014-01-05,山东,5.83,2.39,4.03
2014-01-05,广东,5.64,63.1,3.45
2014-01-05,广西,6.07,16.27,3.96
2014-01-05,江苏,5.75,16.58,3.59
2014-01-05,江西,5.62,7.82,3.27
2014-01-05,浙江,5.46,16.29,3.28
